id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
2090465,10/9/2015,10/9/2015,,Eastern Time (US & Canada),,31092,ecologyelise,2015-10-09 20:34:08 UTC,2017-11-09 21:27:16 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2090465,https://static.inaturalist.org/photos/2501419/medium.jpg?1444422860,,,,FALSE,1,0,FALSE,,"Virginia, US",38.99065401,-77.23875288,500,obscured,,TRUE,,,Honey Bee (Honeybee),Apis mellifera,Western Honey Bee,Insecta,47219
2101257,6/13/2013,6/13/2013,,Central Time (US & Canada),,133235,katl,2015-10-12 18:20:06 UTC,2015-12-30 02:19:13 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/2101257,https://static.inaturalist.org/photos/2516531/medium.jpg?1444674012,,bee,,FALSE,2,0,FALSE,,Woodend Sanctuary,39.003085,-77.065544,,,,FALSE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
2351735,Wed Nov 04 2015 08:16:40 GMT-0500 (EST),11/4/2015,2015-11-04 13:16:40 UTC,Eastern Time (US & Canada),,7580,carrieseltzer,2015-11-05 17:32:08 UTC,2019-11-05 21:05:51 UTC,research,CC0,http://www.inaturalist.org/observations/2351735,https://static.inaturalist.org/photos/2613706/medium.jpg?1446744744,,,,FALSE,4,0,FALSE,3,United States,38.93094434,-76.86658969,,obscured,,TRUE,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
2619775,Sun Jan 10 2016 11:49:17 GMT-0500 (EST),1/10/2016,2016-01-10 16:49:17 UTC,Eastern Time (US & Canada),,7580,carrieseltzer,2016-01-26 19:11:30 UTC,2017-11-09 21:43:57 UTC,research,CC0,http://www.inaturalist.org/observations/2619775,https://static.inaturalist.org/photos/2931689/medium.jpg?1453835511,,,Foraging in January!,FALSE,2,0,FALSE,3,United States,38.93864109,-76.89223377,,obscured,,TRUE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
3118329,2016-05-07 10:24:44 AM EDT,5/7/2016,2016-05-07 14:24:44 UTC,Eastern Time (US & Canada),,227903,rangerjen,2016-05-07 14:26:34 UTC,2018-11-07 18:21:06 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3118329,https://static.inaturalist.org/photos/3605879/medium.jpeg?1462631214,,,,FALSE,3,0,FALSE,2,"1600 M St NW Washington, DC 20036",38.905302,-77.0376911,20,,,FALSE,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
3118353,2016-05-07 10:28:52 AM EDT,5/7/2016,2016-05-07 14:28:52 UTC,Eastern Time (US & Canada),,232729,trilly2,2016-05-07 14:29:43 UTC,2018-11-07 18:21:02 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3118353,https://static.inaturalist.org/photos/3605922/medium.jpeg?1462631389,,,,TRUE,3,0,FALSE,2,"1600 M St NW Washington, DC 20036",38.90524747,-77.03774018,11,,,FALSE,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
3118469,2016-05-07 10:29:35 AM EDT,5/7/2016,2016-05-07 14:29:35 UTC,Eastern Time (US & Canada),,232723,lgudderra,2016-05-07 14:47:31 UTC,2018-11-07 18:20:58 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3118469,https://static.inaturalist.org/photos/3606093/medium.jpeg?1462632464,,,,FALSE,3,0,FALSE,2,"1600 M St NW Washington, DC 20036",38.90526434,-77.03773524,10,,,FALSE,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
3118728,2016-05-07 11:43:24 AM EDT,5/7/2016,2016-05-07 15:43:24 UTC,Eastern Time (US & Canada),,230570,caseyscott,2016-05-07 15:45:02 UTC,2018-11-07 18:20:54 UTC,research,,http://www.inaturalist.org/observations/3118728,https://static.inaturalist.org/photos/3606469/medium.jpeg?1462635959,,,,TRUE,3,0,FALSE,2,"Mockley Point Rd Accokeek, MD 20607",38.68894929,-77.04428317,3,,,FALSE,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
3210526,6/8/2012 11:47,6/8/2012,2012-06-08 15:47:10 UTC,Eastern Time (US & Canada),,192858,krosenthal,2016-05-19 04:24:18 UTC,2019-02-05 18:44:56 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3210526,https://static.inaturalist.org/photos/3716836/medium.JPG?1463631862,,,,FALSE,2,0,FALSE,,Walker Nature Center,38.926094,-77.341791,16,,,FALSE,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
3214898,Thu May 19 2016 13:30:29 GMT-0400 (EDT),5/19/2016,2016-05-19 17:30:29 UTC,Eastern Time (US & Canada),,240052,naturalist1363,2016-05-19 17:55:51 UTC,2017-11-09 22:52:31 UTC,research,,http://www.inaturalist.org/observations/3214898,https://static.inaturalist.org/photos/3721969/medium.jpg?1463680559,,,,FALSE,4,0,FALSE,3,"St Patricks Episcopal School, Washington, DC, US",38.91560333,-77.09323883,,,,FALSE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
3217902,5/19/2016,5/19/2016,,Eastern Time (US & Canada),,31092,ecologyelise,2016-05-20 00:32:00 UTC,2017-11-09 22:53:31 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3217902,https://static.inaturalist.org/photos/3725590/medium.jpg?1463704324,,,,FALSE,1,0,FALSE,,"W&OD Trail, Falls Church, VA",38.89108,-77.179137,50,,,FALSE,,,Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
3222743,Mon May 16 2016 10:37:38 GMT-0400 (EDT),5/16/2016,2016-05-16 14:37:38 UTC,Eastern Time (US & Canada),,239035,henwren,2016-05-20 14:39:35 UTC,2018-11-05 15:20:52 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3222743,https://static.inaturalist.org/photos/3731192/medium.jpg?1463755468,,,,TRUE,3,0,FALSE,3,"National Museum of Natural History, Washington, DC, US",38.89096333,-77.02420833,,,,FALSE,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
